entity_id,legacy_entity_id,canonical_name_zh,entity_scope,province_name_zh,province_short_zh,entity_type,first_active_year,last_active_year,status_in_2026,verification_status,name_history,event_count,successor_summary,primary_source_url
CNUR-000087,E330100,杭州市,current_panel_entity,浙江省,浙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 杭州市,0,,
CNUR-000088,E330200,宁波市,current_panel_entity,浙江省,浙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 宁波市,0,,
CNUR-000089,E330300,温州市,current_panel_entity,浙江省,浙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 温州市,0,,
CNUR-000090,E330400,嘉兴市,current_panel_entity,浙江省,浙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 嘉兴市,0,,
CNUR-000091,E330500,湖州市,current_panel_entity,浙江省,浙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 湖州市,0,,
CNUR-000092,E330600,绍兴市,current_panel_entity,浙江省,浙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 绍兴市,0,,
CNUR-000093,E330700,金华市,current_panel_entity,浙江省,浙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 金华市,0,,
CNUR-000094,E330800,衢州市,current_panel_entity,浙江省,浙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 衢州市,0,,
CNUR-000095,E330900,舟山市,current_panel_entity,浙江省,浙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 舟山市,1,,
CNUR-000096,E331000,台州市,current_panel_entity,浙江省,浙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1993 台州地区; 1994-2026 台州市,1,,
CNUR-000097,E331100,丽水市,current_panel_entity,浙江省,浙江,prefecture_research_entity,1987,2026,active,event_crosschecked,1987-1999 丽水地区; 2000-2026 丽水市,1,,
CNUR-000098,E340100,合肥市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 合肥市,0,,
CNUR-000099,E340200,芜湖市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 芜湖市,0,,
CNUR-000100,E340300,蚌埠市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 蚌埠市,0,,
CNUR-000101,E340400,淮南市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 淮南市,0,,
CNUR-000102,E340500,马鞍山市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 马鞍山市,0,,
CNUR-000103,E340600,淮北市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 淮北市,0,,
CNUR-000104,E340700,铜陵市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 铜陵市,0,,
CNUR-000105,E340800,安庆市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 安庆市,1,,
CNUR-000106,E341000,黄山市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 黄山市,1,,
CNUR-000107,E341100,滁州市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1991 滁县地区; 1992-2026 滁州市,1,,
CNUR-000108,E341200,阜阳市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1995 阜阳地区; 1996-2026 阜阳市,1,,
CNUR-000109,E341300,宿州市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1997 宿县地区; 1998-2026 宿州市,1,,
CNUR-000110,E341400,巢湖市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1987,2010,abolished,wikipedia_verified,1987-1998 巢湖地区; 1999-2010 巢湖市; 2011-2024 [abolished]; 2025-2026 巢湖市,2,,
CNUR-000111,E341500,六安市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1998 六安地区; 1999-2026 六安市,1,,
CNUR-000112,E341600,亳州市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1987,2026,active,event_crosschecked,1987-2026 亳州市,1,,
CNUR-000113,E341700,池州市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1988,2026,active,event_crosschecked,1987-1987 [not_established]; 1988-1999 池州地区; 2000-2026 池州市,2,,
CNUR-000114,E341800,宣城市,current_panel_entity,安徽省,安徽,prefecture_research_entity,1987,2026,active,event_crosschecked,1987-1999 宣城地区; 2000-2026 宣城市,1,,
CNUR-000115,E350100,福州市,current_panel_entity,福建省,福建,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 福州市,0,,
CNUR-000116,E350200,厦门市,current_panel_entity,福建省,福建,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 厦门市,0,,
CNUR-000117,E350300,莆田市,current_panel_entity,福建省,福建,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 莆田市,0,,
CNUR-000118,E350400,三明市,current_panel_entity,福建省,福建,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 三明市,0,,
CNUR-000119,E350500,泉州市,current_panel_entity,福建省,福建,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 泉州市,0,,
