entity_id,legacy_entity_id,canonical_name_zh,province_name_zh,province_short_zh,entity_level,id_namespace,verification_status
CNUR-000207,E441400,梅州市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000208,E441500,汕尾市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000209,E441600,河源市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000210,E441700,阳江市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000211,E441800,清远市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000212,E441900,东莞市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000213,E442000,中山市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000214,E445100,潮州市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000215,E445200,揭阳市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000216,E445300,云浮市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000217,E450100,南宁市,广西壮族自治区,广西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000218,E450200,柳州市,广西壮族自治区,广西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000219,E450300,桂林市,广西壮族自治区,广西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000220,E450400,梧州市,广西壮族自治区,广西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000221,E450500,北海市,广西壮族自治区,广西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000222,E450600,防城港市,广西壮族自治区,广西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000223,E450700,钦州市,广西壮族自治区,广西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000224,E450800,贵港市,广西壮族自治区,广西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000225,E450900,玉林市,广西壮族自治区,广西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000226,E451000,百色市,广西壮族自治区,广西,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000227,E451100,贺州市,广西壮族自治区,广西,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000228,E451200,河池市,广西壮族自治区,广西,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000229,E451300,来宾市,广西壮族自治区,广西,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000230,E451400,崇左市,广西壮族自治区,广西,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000231,E460100,海口市,海南省,海南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000232,E460200,三亚市,海南省,海南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000233,E460300,三沙市,海南省,海南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_verified
CNUR-000234,E460400,儋州市,海南省,海南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_verified
CNUR-000235,E500100,重庆市,重庆市,重庆,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000236,E510100,成都市,四川省,四川,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000237,E510300,自贡市,四川省,四川,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000238,E510400,攀枝花市,四川省,四川,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
